AFF_LOVE_POINT	Sevgi Puaný: %d%%
SELECT_CHANGE_FAILURE_STRANGE_NAME	Bunu
SELECT_CHANGE_NAME_TITLE	Karakter adýný deðiþtir
SELECT_DELEING	Karakter silinecek.
SELECT_DELETED	Baþarýyla silindi.
SELECT_DO_YOU_DELETE_REALLY	Devam etmek istiyor musun?
SELECT_EMPTY_SLOT	Bu boþ bir alan.
SELECT_GM_NAME	GM
SELECT_INPUT_CHANGING_NAME	Yeni karakter adý gir.
SELECT_NOT_JOIN_GUILD	Lonca yok
SHOP_BUY_INFO	Market penceresinden satýn almak istediðin nesneyi seç.
SHOP_CANNOT_SELL_EQUIPMENT	Kullanýlmakta olan nesneleri satamazsýn.
SHOP_CANNOT_SELL_ITEM	Bu eþya satýlamaz.
SHOP_ERROR_UNKNOWN	Bilinmeyen market hatasý: %s
SHOP_INVALID_POS	Bu eþya burada kullanýlamaz.
SHOP_INVENTORY_FULL	Envanterde boþ alan yok.
SHOP_NOT_ENOUGH_MONEY	Yeterli Yang yok
SHOP_NOT_ENOUGH_MONEY_EX	Yeterli Yang'a sahip deðilsin.
SHOP_SELL_INFO	Envanter penceresinden satmak istediðin nesneyi seç.
SHOP_SOLDOUT	Satýldý
SHOT_ERROR_UNKNOWN	Uzaktan saldýrý esnasýnda belirsiz hata: %s
SKILL_BOHO	Yansýtma
SKILL_BUDONG	Henüz kullanýlamaz
SKILL_CANNOT_LEVEL_UP_ANYMORE_BY_BOOK	Bu beceriyi öðrenmek için EXP e ihtiyacýn var.
SKILL_CANNOT_LEVEL_UP_ANYMORE_BY_STAT	Bu beceriyi ögrenmek için bir kitaba ihtiyacýn var.
SKILL_CHEONGEUN	Güçlü Beden
SKILL_CRITICAL	Kritik Vuruþ
SKILL_ENCHANT_POISON	Zehir Uygulama
SKILL_EUNHYEONG	Kamuflaj
SKILL_FAINT	Sersemletme
SKILL_FIND_TRAP	Tuzak Kurma
SKILL_FIRE	Sürekli Ateþ
SKILL_FISHMIND	Balýkçýlýk Küresi etkin
SKILL_GAMJI	Yakalama
SKILL_GEOMGYEONG	Hava Kýlýcý
SKILL_GEONGON	SKILL_GEONGON Henüz kullanýlamaz
SKILL_GICHEON	Ejderha Yardýmý
SKILL_GIGONG	Chi Dönüþü
SKILL_GONGPO	Dehþet
SKILL_GRADE_NAME_GRAND_MASTER	%s Grand Master
SKILL_GRADE_NAME_MASTER	%s Master
SKILL_GRADE_NAME_PERFECT_MASTER	%s Perfect Master
SKILL_GROUP_ASSASSIN_1	Býçak
SKILL_GROUP_ASSASSIN_2	Ok
SKILL_GROUP_HORSE	Binicilik
SKILL_GROUP_SHAMAN_1	EjderGücü
SKILL_GROUP_SHAMAN_2	Iyileþtirme
SKILL_GROUP_SURA_1	Silah
SKILL_GROUP_SURA_2	Kara Büyü
SKILL_GROUP_WARRIOR_1	Bedensel
SKILL_GROUP_WARRIOR_2	Zihinsel
SKILL_GWIGEOM	Büyülü Silah
SKILL_GYEONGGONG	Hafif Adým
SKILL_HEUKSIN	Karanlýk Koruma
SKILL_HOSIN	Kutsama
SKILL_HWAYEOM	SKILL_HWAYEOM Kullanýlamaz.
SKILL_HYEOLMA	SKILL_HYEOLMA Kullanýlamaz.
SKILL_INC_ATKSPD	Saldýrý hýzý arttýrýldý
SKILL_INC_MOVSPD	Hareket hýzý arttýrýldý
SKILL_INMA	SKILL_INMA Kullanýlamaz.
SKILL_JEOJU	Lanet
SKILL_JEONGEOP	Ýyileþtirme
SKILL_JEONGWI	Öfke
SKILL_JEONSINBANGEO	Maksimum Defans
SKILL_JEONSINGONGGYEOK	Maksimum Saldýrý
SKILL_JEUNGCHE	SKILL_JEUNGCHE Kullanýlamaz.
SKILL_JEUNGHON	SKILL_JEUNGHON Kullanýlamaz.
SKILL_JEUNGRYEOK	Atak +
SKILL_JEUNGSOK	Hýz +
SKILL_JIGAM	SKILL_JIGAM Kullanýlamaz.
SKILL_JIPJUNG	SKILL_JIPJUNG Kullanýlamaz.
SKILL_JUMAGAP	Büyülü Zýrh
SKILL_JUMAGEOM	SKILL_JUMAGEOM Kullanýlamaz
SKILL_KWAEGEOM	SKILL_KWAEGEOM Kullanýlamaz
SKILL_KWAESOK	Hýz
SKILL_LEGBOUND	SKILL_LEGBOUND Kullanýlamaz
SKILL_MUSA	SKILL_MUSA Kullanýlamaz.
SKILL_MUYEONG	Ateþ Hayaleti
SKILL_NEED_EMPTY_BOTTLE	Boþ þiþem yok.
SKILL_NEED_POISON_BOTTLE	Zehir þiþem yok.
SKILL_ONLY_FOR_GUILD_WAR	Bu beceriyi sadece Lonca Savaþý sýrasýnda kullanabilirsin.
SKILL_PABEOP	Büyü Çözme
SKILL_POWERFUL_STRIKE	Sersemletici Saldýrý
SKILL_SEOMGWANG	Þimþek Bombasý
SKILL_SINCHAK	SKILL_SINCHAK Kullanýlamaz
SKILL_SLEEP	Uyku
SKILL_SLOW	Yavaþ
SKILL_STUN	Sersemletme
SKILL_SUHO	Koruma
SKILL_SUMMON_DESCRIPTION	Çaðýrma þansý: %d%%
SKILL_TOOLTIP_INT	Zeka
SKILL_TOOLTIP_LEVEL	Seviye
SKILL_TOXICDIE	Zehirleme
SKILL_TOXICPOWER	Zehirleme saldýrýsý yükseltildi.
SKILL_TUSOK	Hayalet Vuruþ
SKILL_WONSIN	SKILL_WONSIN Kullanýlamaz.
SKILL_YONGSIN	SKILL_YONGSIN Kullanýlamaz.
STAT_MINUS_CON	Canlýlýk Ayarý (Kalan þans: %d)
STAT_MINUS_DEX	Çeviklik Ayarý (Kalan þans: %d)
STAT_MINUS_INT	Zeka Ayarý (Kalan þans: %d)
STAT_MINUS_STR	Güç Ayarý (Kalan þans: %d)
STAT_TOOLTIP_CON	HP ve Savunma'yý arttýrýyor
STAT_TOOLTIP_DEX	Saldýrý ve Savuþturma'yý arttýryor
STAT_TOOLTIP_INT	SP, Büyülü Saldýrý ve Savunma'yý artýrýyor
STAT_TOOLTIP_STR	Saldýrý Deðeri'ni ve Hasarý arttýrýyor
SYMBOLLIST_TITLE	Lonca Bayraðý kaydedildi.
SYSTEM_OPTION_CPU_TILING_1	CPU modu zayýf bilgisayarlarýn daha hýzlý çalýþmasýný saðlar.
SYSTEM_OPTION_CPU_TILING_2	Eðer grafiklerde problem varsa diðer seçeneði iþaretleyiniz ,Sistem seçenekleri‘ veya ,CONFIG.exe‘
SYSTEM_OPTION_CPU_TILING_3	ve GPU modunu seçin.
SYSTEM_OPTION_GPU_TILING_1	GPU Modu zayýf bilgisayarlarý daha yavaþ çalýþtýrýr.
SYSTEM_OPTION_GPU_TILING_2	Grafik ile ilgili sorunlarda, 'Sistem Seçenekleri' veya 'CONFIG.exe'yi seç
SYSTEM_OPTION_GPU_TILING_3	GPU modunu deðiþtirin.
SYSTEM_OPTION_TILING_EXIT	Tiling-Modu deðiþimi için oyun yeniden baþlatýlmalý.
TARGET_BUTTON_ACCEPT_FIGHT	Anlaþma
TARGET_BUTTON_AVENGE	Ýntikam
TARGET_BUTTON_BUILDING_DESTROY	Yýkmak
TARGET_BUTTON_DISMOUNT	Ýnmek
TARGET_BUTTON_EMOTION_ALLOW	Duygular
TARGET_BUTTON_EXCHANGE	Ticaret
TARGET_BUTTON_EXCLUDE	Reddetmek
TARGET_BUTTON_EXIT_OBSERVER	Gözlemci Modunu Bitir
TARGET_BUTTON_FIGHT	Düello
TARGET_BUTTON_FRIEND	Dost
TARGET_BUTTON_INVITE_GUILD	Lonca daveti
TARGET_BUTTON_INVITE_PARTY	Grup daveti
TARGET_BUTTON_LEAVE_PARTY	Grubu terket
TARGET_BUTTON_REQUEST_ENTER_PARTY	Gruba katýl
TARGET_BUTTON_VIEW_EQUIPMENT	Zýrh
TARGET_BUTTON_WHISPER	Fýsýldama
TARGET_LEVEL_BOSS	Patron
TARGET_LEVEL_KING	5.Seviye
TARGET_LEVEL_KNIGHT	3.Seviye
TARGET_LEVEL_PAWN	1.Seviye
TARGET_LEVEL_S_KNIGHT	4.Seviye
TARGET_LEVEL_S_PAWN	2.Seviye
TASKBAR_ATTACK	Atak
TASKBAR_AUTO	Otomatik Saldýrý
TASKBAR_CAMERA	Kamera
TASKBAR_EXP	Deneyim
TASKBAR_HP	HP
TASKBAR_MOVE	ilerle
TASKBAR_SKILL	Beceri
TASKBAR_SP	SP
TASKBAR_ST	ST
THING_COUNT	hepsi
TOOLTIP_ANTI_CRITICAL_PCT	Kritik Vuruþ Direnci +%d%%	SA
TOOLTIP_ANTI_PENETRATE_PCT	Delici Vuruþ Direnci +%d%%	SA
TOOLTIP_ANTI_SELL	Depoda satýlamaz
TOOLTIP_APPLY_ATTBONUS_ANIMAL	Hayvanlara karþý güçlü +%d%%	SA
TOOLTIP_APPLY_ATTBONUS_ASSASSIN	Ninjalara karþý güçlü +%d%%	SA
TOOLTIP_APPLY_ATTBONUS_DEVIL	Þeytanlara karþý güçlü +%d%%	SA
TOOLTIP_APPLY_ATTBONUS_HUMAN	Yarý insanlara karþý güçlü +%d%%	SA
TOOLTIP_APPLY_ATTBONUS_MILGYO	Mistiklere karþý güçlü +%d%%	SA
TOOLTIP_APPLY_ATTBONUS_MONSTER	Canavarlara karþý güçlü +%d%%	SA
TOOLTIP_APPLY_ATTBONUS_ORC	Orklara karþý güçlü +%d%%	SA
TOOLTIP_APPLY_ATTBONUS_SHAMAN	Þamanlara karþý güçlü +%d%%	SA
TOOLTIP_APPLY_ATTBONUS_SURA	Suralara karþý güçlü +%d%%	SA
TOOLTIP_APPLY_ATTBONUS_UNDEAD	Ölümsüzlere karþý güçlü +%d%%	SA
TOOLTIP_APPLY_ATTBONUS_WARRIOR	Savasçýlara karþý güçlü +%d%%	SA
TOOLTIP_APPLY_BLOCK	Yakýn dövüþ saldýrýlarý bloklama þansý: %d%%	SA
TOOLTIP_APPLY_COMBAT_SP_RECOVER	Savaþta her 5 saniyede SP yenile %d	SA
TOOLTIP_APPLY_CRITICAL_PCT	Kritik Vuruþ Þansý: +%d%%	SA
TOOLTIP_APPLY_DAMAGE_SP_RECOVER	%d%% Vuruþ yapýldýðýnda Sp geri kazaným þansý	SA
TOOLTIP_APPLY_DODGE	Oklardan korunma þansý %d%%	SA
TOOLTIP_APPLY_EXP_DOUBLE_BONUS	%d%% EXP Bonus þansý	SA
TOOLTIP_APPLY_GOLD_DOUBLE_BONUS	%d%% iki kat Yang düþme þansý	SA
TOOLTIP_APPLY_IMMUNE_FALL	Yere düþme karþýsýnda baðýþýklýk	SNA
TOOLTIP_APPLY_IMMUNE_SLOW	Yavaþlama karþýsýnda baðýþýklýk	SNA
TOOLTIP_APPLY_IMMUNE_STUN	Sersemlik karþýsýnda baðýþýklýk	SNA
TOOLTIP_APPLY_ITEM_DROP_BONUS	%d%% iki Kat eþya düþme þansý	SA
TOOLTIP_APPLY_KILL_HP_RECOVER	HP yüklemesi %d%% deðiþti.	SA
TOOLTIP_APPLY_KILL_SP_RECOVER	SP yüklemesi %d%% degiþti	SA
TOOLTIP_APPLY_MANA_BURN_PCT	SP çalma þansý: %d%%	SA
TOOLTIP_APPLY_MAX_HP_PCT	Maks. HP +%d%%	SA
TOOLTIP_APPLY_MAX_SP_PCT	Maks. SP +%d%%	SA
TOOLTIP_APPLY_NOAFFECT	Efekt yok.
TOOLTIP_APPLY_NO_DEATH_PENALTY	Karakter ölüp burada baþla dediðinde deneyim kaybetmeyecek.	SNA
TOOLTIP_APPLY_PENETRATE_PCT	%d%% Delici Vuruþ için þans	SA
TOOLTIP_APPLY_POISON_PCT	Zehirleme þansý: %d%%	SA
TOOLTIP_APPLY_POISON_REDUCE	Zehre karþý koyma %d%%	SA
TOOLTIP_APPLY_POTION_BONUS	Ýksir etkisi %d%% yükseldi	SA
TOOLTIP_APPLY_REFLECT_CURSE	Lanet Yansýtýlmasý: %d%%	SA
TOOLTIP_APPLY_REFLECT_MELEE	Yakýn dövüþ vuruþlarýný yansýtma þansý: %d%%	SA
TOOLTIP_APPLY_RESIST_ASSASSIN	Ninja saldýrýlarýna karþý savunma þansý: %d%%	SA
TOOLTIP_APPLY_RESIST_BELL	Çan Savunmasý %d%%	SA
TOOLTIP_APPLY_RESIST_DAGGER	Býçak Savunmasý %d%%	SA
TOOLTIP_APPLY_RESIST_FAN	Yelpaze Savunmasý %d%%	SA
TOOLTIP_APPLY_RESIST_SHAMAN	Þaman saldýrýlarýna karþý savunma þansý: %d%%	SA
TOOLTIP_APPLY_RESIST_SURA	Sura saldýrýlarýna karþý savunma þansý: %d%%	SA
TOOLTIP_APPLY_RESIST_SWORD	Kýlýç Savunmasý %d%%	SA
TOOLTIP_APPLY_RESIST_TWOHAND	Çift-El Savunma %d%%	SA
TOOLTIP_APPLY_RESIST_WARRIOR	Savaþçý saldýrýlarýna karþý savunma þansý: %d%%	SA
TOOLTIP_APPLY_RESIST_WIND	Rüzgar Dayanýklýlýðý %d%%	SA
TOOLTIP_APPLY_SKILL_BOOK_BONUS	Kitaptan öðrenme þansý 2,5 arttý.	SNA
TOOLTIP_APPLY_SKILL_BOOK_NO_DELAY	Öðrenme baþarýsýz olursa, anýnda bir kere daha deneme þansýna sahipsin.	SNA
TOOLTIP_APPLY_SLOW_PCT	Yavaþlama þansý: %d%%	SA
TOOLTIP_APPLY_STEAL_HP	%d%% Hasar, HP ile absorbe edilecek	SA
TOOLTIP_APPLY_STEAL_SP	%d%% Hasar, SP ile absorbe edilecek.	SA
TOOLTIP_APPLY_STUN_PCT	Bayýlma þansý: %d%%	SA
TOOLTIP_ARMOR	Zýrh
TOOLTIP_ARROW	Ok
TOOLTIP_ASSASSIN	Ninja
TOOLTIP_ATT_GRADE	Saldýrý Deðeri +%d	SA
TOOLTIP_ATT_SPEED	Saldýrý Hýzý +%d%%	SA
TOOLTIP_AUTO_POTION_HP	Güneþ Özütü
TOOLTIP_AUTO_POTION_REST	Kalan miktar: %.2f%%
TOOLTIP_AUTO_POTION_SP	Ay Özütü
TOOLTIP_AUTO_POTION_USING	Etkin
TOOLTIP_BOW_DISTANCE	Yay Menzili +%dm	SA
TOOLTIP_BUYPRICE	Fiyatý: %s
TOOLTIP_CAST_SPEED	Büyü Hýzý +%d%%	SA
TOOLTIP_CON	Canlýlýk +%d	SA
TOOLTIP_COSTUME_ATTR_BONUS	Kostüm bonusu %d%%	SA
TOOLTIP_DEF_GRADE	Savunma +%d	SA
TOOLTIP_DEX	Çeviklik +%d	SA
TOOLTIP_DRAGON_SOUL_DECK1	Dünya	SNA
TOOLTIP_DRAGON_SOUL_DECK2	Gökyüzü	SNA
TOOLTIP_EAR	Küpe
TOOLTIP_ENERGY	Enerji %d	SA
TOOLTIP_ETC	v.b.
TOOLTIP_FISHINGROD_EXP	Puanlar %d / %d
TOOLTIP_FISHINGROD_LEVEL	Seviye: %d
TOOLTIP_FISHINGROD_UPGRADE1	Onu balýkçýya ver;
TOOLTIP_FISHINGROD_UPGRADE2	daha iyi
TOOLTIP_FISHINGROD_UPGRADE3	bir olta almak için.
TOOLTIP_FISH_LEN	Uzunluk: %,2fcm
TOOLTIP_HELMET	Kask
TOOLTIP_HP_REGEN	HP Üretimi +%d%%	SA
TOOLTIP_INT	Zeka +%d	SA
TOOLTIP_ITEM_ATT_GRADE	Saldýrý deðeri %d
TOOLTIP_ITEM_ATT_POWER	Saldýrý deðeri %d - %d
TOOLTIP_ITEM_ATT_POWER_ONE_ARG	Saldýrý deðeri %d
TOOLTIP_ITEM_ATT_POWER_REFINE	Saldýrý deðeri %d - %d (+%d)
TOOLTIP_ITEM_ATT_SPEED	Saldýrý hýzý %s
TOOLTIP_ITEM_DEF_GRADE	Defans %d
TOOLTIP_ITEM_FAST	Hýzlý
TOOLTIP_ITEM_LIMIT_CON	Canlýlýk üst limiti: %d
TOOLTIP_ITEM_LIMIT_DEX	Çeviklik üst limiti: %d
TOOLTIP_ITEM_LIMIT_INT	Zeka üst limiti: %d
TOOLTIP_ITEM_LIMIT_LEVEL	Seviye: %d
TOOLTIP_ITEM_LIMIT_STR	Güç üst limiti: %d
TOOLTIP_ITEM_MAGIC_ATT_POWER	Büyülü saldýrý deðeri %d - %d
TOOLTIP_ITEM_MAGIC_ATT_POWER_ONE_ARG	Büyülü saldýrý deðeri %d
TOOLTIP_ITEM_MAGIC_DEF_POWER	Büyü Savunmasý %d
TOOLTIP_ITEM_NORMAL	Normal
TOOLTIP_ITEM_SLOW	Yavaþ
TOOLTIP_ITEM_VERY_FAST	Çok Hýzlý
TOOLTIP_ITEM_VERY_SLOW	Çok Yavaþ
TOOLTIP_ITEM_WEARABLE_JOB	[ Giyilebilir ]
TOOLTIP_LOTTERY_STEP_NUMBER	%d
TOOLTIP_LOTTO_NUMBER	Þans Numarasý: %d
TOOLTIP_MAGIC_ATTBONUS_PER	Büyü Saldýrý +%d%%	SA
TOOLTIP_MAGIC_ATT_GRADE	Büyülü Saldýrý Deðeri +%d	SA
TOOLTIP_MAGIC_DEF_GRADE	Büyü Savunmasý +%d	SA
TOOLTIP_MALL_ATTBONUS	Saldýrý Deðeri +%d%%	SA
TOOLTIP_MALL_ATTBONUS_STATIC	Saldýrý Deðeri +12~15%	SNA
TOOLTIP_MALL_AUTOLOOT	Yerdeki mevcut Yang`ýn otomatik olarak toplanmasýný saðlayan el.	SNA
TOOLTIP_MALL_DEFBONUS	Savunma +%d%%	SA
TOOLTIP_MALL_DEFBONUS_STATIC	Savunma +12~15%	SNA
TOOLTIP_MALL_EXPBONUS	EXP +%d%%	SA
TOOLTIP_MALL_EXPBONUS_P_STATIC	iCafe EXP Bonus +%d%%	SA
TOOLTIP_MALL_EXPBONUS_STATIC	EXP artýþýný %50 arttýrýr	SNA
TOOLTIP_MALL_FISH_MIND	Balýk yakalama þansýný ikiye katlar.	SNA
TOOLTIP_MALL_GOLDBONUS	Elde edilen yang kat sayýsý %.1f olarak deðiþti.	SA
TOOLTIP_MALL_GOLDBONUS_STATIC	Yang elde etme þansýný ikiye katlar.	SNA
TOOLTIP_MALL_ITEMBONUS	Elde edilen nesne katsayýsý %.1f olarak deðisti.	SA
TOOLTIP_MALL_ITEMBONUS_P_STATIC	Eþya ele geçirme þans artýþý %.1f%%	SA
TOOLTIP_MALL_ITEMBONUS_STATIC	Eþya ele geçirme þansýný ikiye katlar.	SNA
TOOLTIP_MALL_MARRIAGE_FAST	Sevgi Puaný daha hýzlý artar.	SNA
TOOLTIP_MALL_SAFEBOX	Depoya fazladan 2 oda daha eklenir	SNA
TOOLTIP_MAX_HP	Max. HP +%d	SA
TOOLTIP_MAX_HP_PCT	Max. HP +%d%%	SA
TOOLTIP_MAX_SP	Max. SP +%d	SA
TOOLTIP_MAX_SP_PCT	Max. SP +%d%%	SA
TOOLTIP_MAX_STAMINA	Max. Dayanýklýlýk +%d	SA
TOOLTIP_MELEE_MAGIC_ATTBONUS_PER	Büyü Saldýrý / Yakýn Dövüþ Saldýrý +%d%%	SA
TOOLTIP_MEMORIZED_POSITION	%s(%d, %d)
TOOLTIP_MEMORIZED_POSITION_ERROR	GPS ERROR(%d, %d)
TOOLTIP_MOV_SPEED	Hareket Hýzý %d%%	SA
TOOLTIP_NECK	Kolye
TOOLTIP_NEED_ALL_SP	Gereken SP: Max.
TOOLTIP_NEED_GSP	Gereken Ejderha Hayaleti: %d
TOOLTIP_NEED_HP	Gereken HP: %d
TOOLTIP_NEED_HP_PER_SEC	HP/Sn.: %d
TOOLTIP_NEED_SKILL_POINT	Gereken Beceri Puaný:
TOOLTIP_NEED_SP	Gereken SP: %d
TOOLTIP_NEED_SP_PER_SEC	SP: %d / Sn.
TOOLTIP_NEXT_SKILL_LEVEL_1	Sonraki Seviye: %d (Max. %d)
TOOLTIP_NEXT_SKILL_LEVEL_2	Sonraki Seviye: %d (Max. %d-%d)
TOOLTIP_NORMAL_HIT_DAMAGE_BONUS	Ortalama Zarar %d%%	SA
TOOLTIP_NORMAL_HIT_DEFEND_BONUS	Ortalama Zarara Direniþ %d%%	SA
TOOLTIP_PARTY_INFO_GRADE_UP1	Grup üyesi %d den fazla.
TOOLTIP_PARTY_INFO_GRADE_UP2	Saldýrý Seviyesi +%d
TOOLTIP_PARTY_INFO_GRADE_UP3	Savunma Seviyesi +%d
TOOLTIP_PARTY_INFO_HEAL_18_LEVEL	Tüm grup üyelerine 60 dakika HP/SP Yüklenir.
TOOLTIP_PARTY_INFO_HEAL_40_LEVEL	Tüm grup üyelerine 30 dakika HP/SP Yüklenir.
TOOLTIP_PARTY_INFO_RECALL_12_LEVEL	Grup üyesi öldükten sonra 3 dakika beklemelisiniz.
TOOLTIP_PARTY_INFO_RECALL_20_LEVEL	Ayný serverda olduðunuz zaman grup üyelerinizi çaðýrabilirsiniz.
TOOLTIP_PARTY_INFO_SET_ATTACKER	Saldýrý Seviyesi +(Grup üye sayisi./2) %d Saldýrý birimi seçilebilir.
TOOLTIP_PARTY_INFO_SET_TANKER	Savunma Seviyesi +(Grup üye sayisi)  1 Yakýn Dövüs Savasçýsý seçilebilir.
TOOLTIP_PARTY_SKILL_LEVEL	Mevcut Seviye: %d
TOOLTIP_PARTY_TITLE_GRADE_UP	[Saldýrý/Savunma yükseltildi]
TOOLTIP_PARTY_TITLE_HEAL	[Yükleme]
TOOLTIP_PARTY_TITLE_INFO_BONUS_EXP	%d Grup üyesi olduðunda  %d%% Bonus EXP alýrsýn.
TOOLTIP_PARTY_TITLE_MEMBER_BONUS_EXP	[Bonus EXP]
TOOLTIP_PARTY_TITLE_RECALL	[Çaðýr]
TOOLTIP_PARTY_TITLE_SET_ATTACKER	[Saldýrý Birimi olarak ayarla]
TOOLTIP_PARTY_TITLE_SET_TANKER	[Yakýn Dövüþ Savaþçýsý olarak belirle]
TOOLTIP_PICK_EXP	Puanlar: %d / %d
TOOLTIP_PICK_LEVEL	Seviye: %d
TOOLTIP_PICK_UPGRADE1	Onu oduncuya ver;
TOOLTIP_PICK_UPGRADE2	daha iyi
TOOLTIP_PICK_UPGRADE3	bir kazma alabilmek için.
TOOLTIP_POTION_CURE	Olumsuz sonuçlarý geri al.
TOOLTIP_POTION_MIN	Min.
TOOLTIP_POTION_PLUS_ATTACK_SPEED	Saldýrý Hýzý: +%d
TOOLTIP_POTION_PLUS_HP_PERCENT	HP: +%d%%
TOOLTIP_POTION_PLUS_HP_POINT	HP: +%d
TOOLTIP_POTION_PLUS_MOVING_SPEED	Hareket Hýzý: +%d
TOOLTIP_POTION_PLUS_SP_PERCENT	SP: +%d%%
TOOLTIP_POTION_PLUS_SP_POINT	SP: +%d
TOOLTIP_POTION_SEC	Sn.
TOOLTIP_POTION_TIME	Süre:
TOOLTIP_REQUIREMENT_21_LEVEL	21.Seviyeye ulaþmýþ olmalýsýn.
TOOLTIP_REQUIREMENT_41_LEVEL	41.Seviyeye ulaþmýþ olmalýsýn.
TOOLTIP_REQUIREMENT_LEVEL	%d.Seviyeye ulaþmýþ olmalýsýn.
TOOLTIP_REQUIREMENT_SKILL_LEVEL	%s Seviye %d gerekli.
TOOLTIP_REQUIREMENT_STAT_LEVEL	%s %d gerekli
TOOLTIP_RESIST_BOW	Oka karþý dayanýklýlýk %d%%	SA
TOOLTIP_RESIST_DARK	Karanlýk Direnci +%d%%	SA
TOOLTIP_RESIST_EARTH	Dünya Direnci +%d%%	SA
TOOLTIP_RESIST_ELEC	Þimseðe karþý dayanýklýlýk %d%%	SA
TOOLTIP_RESIST_FIRE	Ateþe karþý dayanýklýlýk %d%%	SA
TOOLTIP_RESIST_ICE	Buz Direnci +%d%%	SA
TOOLTIP_RESIST_MAGIC	Büyüye karþý dayanýklýlýk %d%%	SA
TOOLTIP_REST_USABLE_COUNT	Kalan: %d
TOOLTIP_SEALED	
TOOLTIP_SELLPRICE	Fiyat: %s
TOOLTIP_SHAMAN	Þaman
TOOLTIP_SHIELD	Kalkan
TOOLTIP_SHOES	Ayakkabý
TOOLTIP_SKILL	Beceriler	SNA
TOOLTIP_SKILLBOOK_NAME	Beceri Kitabý
TOOLTIP_SKILL_AFFECT_ATT_GRADE	Saldýrý Deðeri: +
TOOLTIP_SKILL_AFFECT_ATT_POWER	Saldýrý Deðeri:
TOOLTIP_SKILL_AFFECT_ATT_SPEED	Saldýrý Hýzý: +
TOOLTIP_SKILL_AFFECT_DEF_GRADE	Savunma:
TOOLTIP_SKILL_AFFECT_DODGE	Rakip saldýrý deðeri: -
TOOLTIP_SKILL_AFFECT_HEAL	Yüklenen HP:
TOOLTIP_SKILL_AFFECT_MOV_SPEED	Hareket Hýzý: +
TOOLTIP_SKILL_AFFECT_REFLECT_MELEE	Yakýn dövüþ saldýrýlarýný yansýtma þansý:
TOOLTIP_SKILL_AFFECT_RESIST_NORMAL	Beden hasarýna karþý koyma:
TOOLTIP_SKILL_COOL_TIME	Yükleme Süresi: 
TOOLTIP_SKILL_DAMAGE_BONUS	Beceri Hasarý %d%%	SA
TOOLTIP_SKILL_DEFEND_BONUS	Beceri hasarýna karþý koyma %d%%	SA
TOOLTIP_SKILL_DURATION	Süre: %d Sn.
TOOLTIP_SKILL_FORGET_BOOK_NAME	Gözlem Bandý
TOOLTIP_SKILL_LEVEL	Güncel Seviye: %d
TOOLTIP_SKILL_LEVEL_MASTER	Güncel Seviye: %d (Master)
TOOLTIP_SKILL_LEVEL_WITH_MAX	Güncel Seviye: %d (Max. %d)
TOOLTIP_SOCKET_EMPTY	Boþ
TOOLTIP_SOCKET_REFINABLE_ITEM	[Slotlu Nesne]
TOOLTIP_SP_REGEN	SP Üretimi +%d%%	SA
TOOLTIP_STR	Güç +%d	SA
TOOLTIP_SURA	Sura
TOOLTIP_TIME_CHARGER_FIX	Süre Yükleme %d sn.	SA
TOOLTIP_TIME_CHARGER_PER	Süre Yükleme %d%%	SA
TOOLTIP_UNIQUE	Eþsiz
TOOLTIP_UNSEAL_LEFT_TIME	
TOOLTIP_WARRIOR	Savaþçý
TOOLTIP_WEAPON	Silah
TOOLTIP_WRISTLET	Bileklik
UI_ACCEPT	Kabul
UI_CANCEL	iptal
UI_CLOSE	Kapat
UI_DEF_FONT	Tahoma:12
UI_DEF_FONT_LARGE	Tahoma:14
UI_DEF_FONT_SMALL	Tahoma:9
UI_DENY	Red
UI_ITEM	Nesne
UI_LEFT_TIME	Kalan Zaman: %d Sec.
UI_NEXT	Devam
UI_NEXTPAGE	Devam
UI_NOCONTENTS	Ýçerik yok
UI_NONAME	isimsiz
UI_OK	OK
UI_POS_UNKNOWN	Bilinmeyen Yer
UI_PREVPAGE	Geri
UI_UNKNOWN	Bilinmeyen
UPLOAD_MARK_CHECK_NEED_RECONNECT	Upload yeniden baþlatýlmalý.
UPLOAD_MARK_UPLOAD_NEED_RECONNECT	Upload yeniden baþlatýlmalý.
USE_ITEM_FAILURE_PRIVATE_SHOP	Özel bir dükkân açtýðýn sürece, nesneleri kullanamazsýn.
USE_SKILL_ERROR_UNKNOWN	Bilinmeyen Beceri Hatasý: %s
